"source","target","value"
"A0AV96-2;A0AV96","A0AVT1;A0AVT1-2",0.628609098117378
"A0FGR8-2;A0FGR8;A0FGR8-4","A0AVT1;A0AVT1-2",0.633839320360406
"A0MZ66;A0MZ66-3;A0MZ66-6;A0MZ66-4;A0MZ66-5;A0MZ66-8;A0MZ66-2","A0AVT1;A0AVT1-2",0.704694432896509
"A1A4S6","A0AVT1;A0AVT1-2",0.583007637865666
"A1L0T0","A0AVT1;A0AVT1-2",0.732460906777294
"A2RRP1;A2RRP1-2","A0AVT1;A0AVT1-2",0.632913298375175
"A2RUS2;A2RUS2-2","A0AVT1;A0AVT1-2",0.721396206644173
"A3KMH1-3;A3KMH1","A0AVT1;A0AVT1-2",0.668412619187015
"A3KN83-3;A3KN83-2;A3KN83","A0AVT1;A0AVT1-2",0.787977167322811
"A4D1E9;A4D1E9-2","A0AVT1;A0AVT1-2",0.689663543714962
"A4D1P6;A4D1P6-2;A4D1P6-3","A0AVT1;A0AVT1-2",0.650654639362492
"A5YKK6;A5YKK6-2;A5YKK6-3;A5YKK6-4","A0AVT1;A0AVT1-2",0.718517863305598
"A6NC98;A6NC98-4;A6NC98-2","A0AVT1;A0AVT1-2",0.684055368348136
"Q9GZQ8;A6NCE7","A0AVT1;A0AVT1-2",0.674621819313884
"A6NDG6","A0AVT1;A0AVT1-2",0.667529462095154
"A6NDU8","A0AVT1;A0AVT1-2",0.730057877293264
"A6NFQ2;A6NFQ2-3","A0AVT1;A0AVT1-2",0.65994970805969
"A6NHL2-2;A6NHL2","A0AVT1;A0AVT1-2",0.598514601728081
"A6NHQ2","A0AVT1;A0AVT1-2",0.661344990282895
"A6NHR9;A6NHR9-2","A0AVT1;A0AVT1-2",0.684424236112955
"A6NIH7","A0AVT1;A0AVT1-2",0.580456861042228
"A6NJ78","A0AVT1;A0AVT1-2",0.633510524159789
"A6NKT7","A0AVT1;A0AVT1-2",0.620953680178317
"A6ZKI3","A0AVT1;A0AVT1-2",0.574955048864903
"A8CG34;A8CG34-2","A0AVT1;A0AVT1-2",0.690818235737229
"A8MXV4","A0AVT1;A0AVT1-2",0.605168709045361
"A9UHW6;A9UHW6-2;A9UHW6-3","A0AVT1;A0AVT1-2",0.622839593847807
"B0I1T2;B0I1T2-4","A0AVT1;A0AVT1-2",0.597480273608282
"B7ZAQ6-3;B7ZAQ6-2;P0CG08;B7ZAQ6;A6NKF9","A0AVT1;A0AVT1-2",0.615426926642206
"C4AMC7;Q6VEQ5","A0AVT1;A0AVT1-2",0.721372989606605
"C9JLW8","A0AVT1;A0AVT1-2",0.614912699483362
"E9PAV3;Q13765;E9PAV3-2","A0AVT1;A0AVT1-2",0.709730434745852
"E9PRG8","A0AVT1;A0AVT1-2",0.740424433758685
"O00115-2;O00115","A0AVT1;A0AVT1-2",0.741435813306859
"O00116","A0AVT1;A0AVT1-2",0.729751533209265
"O00139;O00139-4;O00139-1;O00139-5","A0AVT1;A0AVT1-2",0.799466080134795
"O00148;O00148-2;O00148-3","A0AVT1;A0AVT1-2",0.746034131516877
"O00151","A0AVT1;A0AVT1-2",0.82283007239892
"O00154-4;O00154-2;O00154-3","A0AVT1;A0AVT1-2",0.651596958350546
"O00159","A0AVT1;A0AVT1-2",0.798818855858587
"O00161;O00161-2","A0AVT1;A0AVT1-2",0.618913377123075
"O00165;O00165-2;O00165-5;O00165-3","A0AVT1;A0AVT1-2",0.672457079116141
"O00170","A0AVT1;A0AVT1-2",0.621233487886888
"O00178","A0AVT1;A0AVT1-2",0.679205938233317
"O00182-2;O00182","A0AVT1;A0AVT1-2",0.741446544184364
"O00186","A0AVT1;A0AVT1-2",0.675675263935735
"O00193","A0AVT1;A0AVT1-2",0.694956221566233
"O00203","A0AVT1;A0AVT1-2",0.672556095609251
"O00214-2;O00214","A0AVT1;A0AVT1-2",0.726695703213965
"O00217","A0AVT1;A0AVT1-2",0.582914416333382
"O00221","A0AVT1;A0AVT1-2",0.517425248453652
"O00231;O00231-2","A0AVT1;A0AVT1-2",0.523887777088218
"O00232;O00232-2","A0AVT1;A0AVT1-2",0.533242102184153
"O00233;O00233-2","A0AVT1;A0AVT1-2",0.614263434697606
"O00244","A0AVT1;A0AVT1-2",0.613148492970343
"O00255-2;O00255;O00255-3","A0AVT1;A0AVT1-2",0.643191172296847
"O00264;O00264-2","A0AVT1;A0AVT1-2",0.753951083776541
"O00267","A0AVT1;A0AVT1-2",0.760837230072571
"O00268","A0AVT1;A0AVT1-2",0.740239194976227
"O00273","A0AVT1;A0AVT1-2",0.703486760512351
"O00299","A0AVT1;A0AVT1-2",0.688606580017358
"O00303","A0AVT1;A0AVT1-2",0.677319906785555
"O00329","A0AVT1;A0AVT1-2",0.722798976905309
"O00330-3;O00330","A0AVT1;A0AVT1-2",0.560722008091127
"O00391","A0AVT1;A0AVT1-2",0.81417171014858
"O00399","A0AVT1;A0AVT1-2",0.692686192653601
"O00410;O00410-3","A0AVT1;A0AVT1-2",0.656946703326641
"O00411","A0AVT1;A0AVT1-2",0.610545039328869
"O00422","A0AVT1;A0AVT1-2",0.633393522526719
"O00425","A0AVT1;A0AVT1-2",0.624591147305869
"O00429-3","A0AVT1;A0AVT1-2",0.678093346839494
"O00442;O00442-2","A0AVT1;A0AVT1-2",0.669065156908648
"O00443","A0AVT1;A0AVT1-2",0.669559612408387
"O00459","A0AVT1;A0AVT1-2",0.693388814669718
"O00461","A0AVT1;A0AVT1-2",0.627294622413771
"O00468-6;O00468-7","A0AVT1;A0AVT1-2",0.638236396721608
"O00469-2;O00469","A0AVT1;A0AVT1-2",0.70074563490254
"O00471","A0AVT1;A0AVT1-2",0.640052493813543
"O00479","A0AVT1;A0AVT1-2",0.579866757348853
"O00483","A0AVT1;A0AVT1-2",0.726908619249353
"O00487","A0AVT1;A0AVT1-2",0.585731828625712
"O00499-9;O00499-7;O00499-4;O00499-6;O00499-2;O00499-10;O00499-8;O00499-11","A0AVT1;A0AVT1-2",0.700378871926127
"O00505","A0AVT1;A0AVT1-2",0.71208768374168
"O00515","A0AVT1;A0AVT1-2",0.657803884988317
"O00541;O00541-2","A0AVT1;A0AVT1-2",0.840766788273484
"O00560;O00560-3","A0AVT1;A0AVT1-2",0.786125743592728
"O00566","A0AVT1;A0AVT1-2",0.779073216296618
"O00567","A0AVT1;A0AVT1-2",0.757513047388956
"O00571;O00571-2","A0AVT1;A0AVT1-2",0.784753943023829
"O00584","A0AVT1;A0AVT1-2",0.791556443331442
"O00592-2;O00592","A0AVT1;A0AVT1-2",0.775201861219198
"O00625","A0AVT1;A0AVT1-2",0.791814615310288
"O00629","A0AVT1;A0AVT1-2",0.599304463979278
"O00743;O00743-2;O00743-3","A0AVT1;A0AVT1-2",0.677632732081347
"O00746","A0AVT1;A0AVT1-2",0.699149293804041
"O00750","A0AVT1;A0AVT1-2",0.663372320784442
"O00754;O00754-2","A0AVT1;A0AVT1-2",0.737067851692556
"O00762;O00762-2;O00762-3","A0AVT1;A0AVT1-2",0.768790693890639
"O00764;O00764-3;O00764-2","A0AVT1;A0AVT1-2",0.513349838340694
